Target language lemma,ID,User language gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Target language example sentence,Translation,Reference,Topic(s),Lesson,
паспорт,1299,passport,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,паспортом,Ins.Sing,Подойдите с паспортом в двадцать второй кабинет.,Go to room 22 with your passport.,_,"путешествие, учёба/работа",16,
студенческий,1300,student,A,A1,МН,1,студенческий,Nom.Masc.Sing,Студенческий обед с столовой стоит сто двадцать рублей.,A student lunch at the cafeteria costs 120 roubles.,_,"описание, учёба/работа",22,
студенческий,1301,student,A,A1,МН,2,студенческого,Gen.Masc.Sing,Они подошли к главному входу студенческого общежития.,They came to the main entrance of the student dormitory.,_,"описание, учёба/работа",22,
студенческий,1302,student,A,A1,МН,3,студенческих,Gen.Plur,Он написал статью для сборника студенческих работ.,He wrote an article for an anthology of student works.,_,"описание, учёба/работа",22,
овощ,1303,vegetable,N.Masc.Inan,A1,МН,1,овощи,Acc.Plur,Какие овощи любят ваши дети?,What vegetables do your children like?,_,"еда, магазин",23,
овощ,1304,vegetable,N.Masc.Inan,A1,МН,2,овощей,Gen.Plur,Мой муж умеет готовить только салат из овощей и яичницу.,The only things my husband knows how to make are vegetable salad and scrambled eggs.,_,"еда, магазин",23,
1305 deleted,,,,,,,,,,,,,,
просить,1306,ask,V,A1,"MiP, LM, МН",1,прошу,Imperf.Sing.1,"Прошу вас, помогите мне!",I’m begging you to help me!,_,"люди, общение",20,
просить,1307,ask,V,A1,"MiP, LM, МН",2,просит,Imperf.Sing.3,Олег просит совета у Кати.,Oleg asks for Katya’s advice.,_,"люди, общение",20,
просить,1308,ask,V,A1,"MiP, LM, МН",3,просил,Imperf.Masc.Sing.Past,Мой сын три дня просил у меня эту игрушку.,My son was asking me for that toy for 3 days.,_,"люди, общение",20,
виза,1309,visa,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,визы,Nom.Plur,Визы каких стран есть у тебя в паспорте?,Which countries do you have visas for in your passport?,_,путешествие,16,
виза,1310,visa,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,виз,Gen.Plur,В какие страны российские граждане могут въезжать без виз?,Which countries can Russians enter without a visa?,_,путешествие,16,
виза,1311,visa,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,визу,Acc.Sing,Ты уже подал документы на визу?,Have you already applied for the visa?,_,путешествие,16,
троллейбус,1312,trolleybus,N.Masc.Inan,A1,"MiP, LM, МН",1,троллейбусе,Loc.Sing,Мы поедем в театр на троллейбусе.,We'll go to the theatre by trolleybus.,_,транспорт,32,
троллейбус,1313,trolleybus,N.Masc.Inan,A1,"MiP, LM, МН",2,троллейбусы,Nom.Plur,По этой улице троллейбусы не ездят.,Trolleybuses don’t go down this street.,_,транспорт,32,
троллейбус,1314,trolleybus,N.Masc.Inan,A1,"MiP, LM, МН",3,троллейбусов,Gen.Plur,Пятого июля не будет движения троллейбусов по улице Ленина.,No trolleybuses will go along Lenin street on July 5th.,_,транспорт,32,
аптека,1315,pharmacy,N.Fem.Inan,A1,"MiP, МН, Поехали",1,аптеку,Acc.Sing,Я пошла в аптеку за парацетамолом.,I went to the pharmacy to buy paracetamol.,_,здоровье,2,
аптека,1316,pharmacy,N.Fem.Inan,A1,"MiP, МН, Поехали",2,аптеке,Loc.Sing,В этой аптеке нет моего лекарства.,They don’t have my medicine at this pharmacy.,_,здоровье,2,
аптека,1317,pharmacy,N.Fem.Inan,A1,"MiP, МН, Поехали",3,аптека,Nom.Sing,Эта аптека сегодня не работает.,This pharmacy is closed today.,_,здоровье,2,
упражнение,1318,excersise,N.Neut.Inan,A1,"Golosa, MiP, МН",1,упражнения,Acc.Plur,Я не люблю упражнения на грамматику.,I don't like grammar exercises.,_,"здоровье, свободное время, учёба/работа",17,
упражнение,1319,excersise,N.Neut.Inan,A1,"Golosa, MiP, МН",2,упражнениями,Ins.Plur,Я забыла тетрадь с упражнениями дома. ,I forgot my exercise book at home.,_,"здоровье, свободное время, учёба/работа",17,
упражнение,1320,excersise,N.Neut.Inan,A1,"Golosa, MiP, МН",3,упражнениям,Dat.Plur,Ответы к упражнениям находятся в конце учебника. ,The answers to the exercises are in the back of the book.,_,"здоровье, свободное время, учёба/работа",17,
домохозяйка,1321,housewife,N.Fem.Anim,A1,"Golosa, MiP, МН",1,домохозяйка,Nom.Sing,Его жена — домохозяйка.,His wife is a housewife.,_,люди,29,
домохозяйка,1322,housewife,N.Fem.Anim,A1,"Golosa, MiP, МН",2,домохозяйки,Nom.Plur,Любимый сериал моей мамы — «Отчаянные домохозяйки».,My mom’s favorite TV series is «Desperate Housewives».,_,люди,29,
фотоаппарат,1323,camera,N.Masc.Inan,A1,"Golosa, MiP, МН",1,фотоаппарата,Gen.Sing,"Здесь так красиво! Жаль, что у меня нет с собой фотоаппарата.",It's so beautiful here! It’s such a pity I don’t have my camera.,_,"свободное время, магазин",20,
фотоаппарат,1324,camera,N.Masc.Inan,A1,"Golosa, MiP, МН",2,фотоаппарат,Acc.Sing,Все фотографии я сделала на профессиональный фотоаппарат.,I took all the photos with a professional camera.,_,"свободное время, магазин",20,
фотоаппарат,1325,camera,N.Masc.Inan,A1,"Golosa, MiP, МН",3,фотоаппараты,Acc.Plur,Многие мои друзья купили фотоаппараты для работы.,Many of my friends have bought cameras for work.,_,"свободное время, магазин",20,
смелый,1326,brave,A,A1,МН,1,смелый,Nom.Masc.Sing,"Мой брат добрый, смелый и умный.","My brother is kind, brave and smart.",_,"описание, внутренний мир",32,
смелый,1327,brave,A,A1,МН,2,смелые,Nom.Plur,Пусть сбываются ваши самые смелые мечты!,Let all your wildest dreams come true!,_,"описание, внутренний мир",32,
смелый,1328,brave,A,A1,МН,3,смелая,Nom.Fem.Sing,Прыгнуть с парашютом — это очень смелая идея.,Skydiving is a very daring idea.,_,"описание, внутренний мир",32,
открытка,1329,postcard,N.Fem.Inan,A1,"MiP, LM, МН",1,открыток,Gen.Plur,Катя купила в Таллине набор открыток.,Katya bought a set of postcards in Tallinn.,_,"общение, магазин",27,
открытка,1330,postcard,N.Fem.Inan,A1,"MiP, LM, МН",2,открытки,Nom.Plur,В магазине закончились открытки с днём рождения.,There are no more birthday cards in the shop.,_,"общение, магазин",27,
открытка,1331,postcard,N.Fem.Inan,A1,"MiP, LM, МН",3,открытка,Nom.Sing,Сколько стоит эта открытка?,How much does this postcard cost?,_,"общение, магазин",27,This sentence sounds ungrammatical to me: свой should refer to the subject which is открытка here.
работать,1332,work,V,A1,"Golosa, MiP, LM, МН",1,работать,Imperf.Inf,Я не люблю работать по ночам.,I don't like to work at night.,_,учёба/работа,3,
работать,1333,work,V,A1,"Golosa, MiP, LM, МН",2,работает,Imperf.Sing.3,Моя сестра работает врачом.,My sister works as a doctor.,_,учёба/работа,3,
работать,1334,work,V,A1,"Golosa, MiP, LM, МН",3,работают,Imperf.Plur.3,Где работают твои родители?,Where do your parents work?,_,учёба/работа,3,
шарф,1335,scarf,N.Masc.Inan,A1,"LM, МН, Кс",1,шарфом,Ins.Sing,"Было очень холодно, и она укрылась шарфом.",It was very cold so she put on a scarf.,_,"магазин, одежда",13,
шарф,1336,scarf,N.Masc.Inan,A1,"LM, МН, Кс",2,шарфе,Loc.Sing,Мне было тепло в этом шерстяном шарфе.,I felt warm in that woolen scarf.,_,"магазин, одежда",13,
шарф,1337,scarf,N.Masc.Inan,A1,"LM, МН, Кс",3,шарф,Nom.Sing,Мой новый шарф очень тёплый.,My new scarf is very warm.,_,"магазин, одежда",13,
сувенир,1338,souvenir,N.Masc.Inan,A1,"Golosa, MiP, МН",1,сувениры,Acc.Plur,Вы привозите сувениры из путешествий?,Do you bring home souvenirs from your travels?,_,"путешествие, магазин",20,
сувенир,1339,souvenir,N.Masc.Inan,A1,"Golosa, MiP, МН",2,сувениров,Gen.Plur,Я не успела купить никаких сувениров в Греции.,I didn't have time to buy any souvenirs in Greece.,_,"путешествие, магазин",20,
сувенир,1340,souvenir,N.Masc.Inan,A1,"Golosa, MiP, МН",3,сувенирами,Ins.Plur,В последний день мы пошли за сувенирами.,On the last day we went souvenir shopping.,_,"путешествие, магазин",20,
коричневый,1341,brown,A,A1,"Golosa, MiP, МН",1,коричневых,Gen.Plur,"У меня нет коричневых сапог, а они мне так нужны к этой куртке.",I don't have any brown boots and I really need them with this jacket.,_,описание,27,
коричневый,1342,brown,A,A1,"Golosa, MiP, МН",2,коричневыми,Ins.Plur,Я купила белую футболку с коричневыми полосками.,I bought a white T-shirt with brown stripes.,_,описание,27,
коричневый,1343,brown,A,A1,"Golosa, MiP, МН",3,коричневые,Nom.Plur,У Насти были длинные коричневые волосы и чёрные глаза.,Nastya had long brown hair and dark brown eyes.,_,описание,27,
должный,1344,proper,A,A1,МН,1,должного,Gen.Neut.Sing,"Мы считаем, что они не уделяют ребёнку должного внимания.",We don't think that they pay enough attention to their child.,_,"описание, учёба/работа",24,
должный,1345,proper,A,A1,МН,2,должным,Ins.Masc.Sing,"Я верю, что в нашем городе люди воспитаны должным образом.",I believe that people in our city are brought up properly.,_,"описание, учёба/работа",24,
должный,1346,proper,A,A1,МН,3,должную,Acc.Fem.Sing,Государство оказывает бедным семьям должную помощь.,The government gives proper help to families with low income.,_,"описание, учёба/работа",24,
разговаривать,1347,talk,V,A1,"Golosa, MiP, LM, МН",1,разговаривать,Imperf.Inf,Я не люблю разговаривать с незнакомыми людьми.,I don't like talking with strangers.,_,"люди, общение",15,
разговаривать,1348,talk,V,A1,"Golosa, MiP, LM, МН",2,разговаривали,Imperf.Plur.Past,Мы вчера три часа разговаривали с коллегами после работы.,After work I spent 3 hours talking with my co-workers.,_,"люди, общение",15,
разговаривать,1349,talk,V,A1,"Golosa, MiP, LM, МН",3,разговаривал,Imperf.Masc.Sing.Past,Он весь вечер ни с кем не разговаривал.,He didn’t talk to anybody the whole evening.,_,"люди, общение",15,
сделать,1350,make,V,A1,"Golosa, MiP, LM, МН",1,сделать,Perf.Inf,Как сделать хорошую фотографию?,How do you take a good photograph?,_,учёба/работа,22,
сделать,1351,make,V,A1,"Golosa, MiP, LM, МН",2,сделал,Perf.Masc.Sing.Past,Каждый актёр сделал свою работу великолепно.,Every actor did an excellent job.,_,учёба/работа,22,
сделать,1352,make,V,A1,"Golosa, MiP, LM, МН",3,сделали,Perf.Plur.Past,"Они сделали большую ошибку, что пошли в тот клуб.",They made a big mistake when they went to that club.,_,учёба/работа,22,
сидеть,1353,sit,V,A1,"MiP, LM, МН",1,сидел,Imperf.Masc.Sing.Past,Мальчик сидел на берегу и смотрел на море.,The boy was sitting on the shore and looking at the sea.,_,"люди, жильё, свободное время, описание",19,
сидеть,1354,sit,V,A1,"MiP, LM, МН",2,сидит,Imperf.Sing.3,Петя заболел и сегодня сидит дома.,Petya got sick so today he is staying at home.,_,"люди, жильё, свободное время, описание",19,
сидеть,1355,sit,V,A1,"MiP, LM, МН",3,сидеть,Imperf.Inf,Мой ребёнок научился сидеть!,My baby learned how to sit!,_,"люди, жильё, свободное время, описание",19,
сказать,1356,say,V,A1,"Golosa, MiP, LM, МН",1,сказал,Perf.Masc.Sing.Past,Что он тебе сказал в тот вечер?,What did he tell you that night?,_,общение,24,
сказать,1357,say,V,A1,"Golosa, MiP, LM, МН",2,сказать,Perf.Inf,"Я не знаю, как сказать это по-русски.",I don't know how to say that in Russian.,_,общение,24,
сказать,1358,say,V,A1,"Golosa, MiP, LM, МН",3,сказала,Perf.Fem.Sing.Past,Зачем ты ему это сказала?,Why did you say that to him?,_,общение,24,
смотреть,1359,watch,V,A1,"LM, МН",1,смотреть,Imperf.Inf,Андрей любит смотреть футбол.,Andrey likes to watch soccer.,_,"свободное время, общение",10,
смотреть,1360,watch,V,A1,"LM, МН",2,смотрел,Imperf.Masc.Sing.Past,Ты смотрел вчера матч Россия-Испания?,Did you watch the game between Russia and Spain yesterday?,_,"свободное время, общение",10,
смотреть,1361,watch,V,A1,"LM, МН",3,смотрит,Imperf.Sing.3,Что Вася сейчас смотрит?,What is Vasya watching now?,_,"свободное время, общение",10,
смочь,1362,be able to,V,A1,"LM, МН",1,смогли,Perf.Plur.Past,Мы не смогли вчера прийти на лекцию.,We couldn’t come to the lecture yesterday.,_,"люди, свободное время",32,
смочь,1363,be able to,V,A1,"LM, МН",2,сможет,Perf.Sing.3,Мой папа не сможет пойти со мной в кино — он работает.,My dad can’t go to the cinema with me — he is working.,_,"люди, свободное время",32,
смочь,1364,be able to,V,A1,"LM, МН",3,смог,Perf.Masc.Sing.Past,Я не смог поднять эту коробку — она слишком тяжёлая.,I couldn’t lift that box — it is too heavy.,_,"люди, свободное время",32,
спать,1365,sleep,V,A1,"LM, МН",1,спать,Imperf.Inf,У меня был долгий перелёт. Я очень хочу спать.,I had a long flight. I really want to sleep.,_,свободное время,9,
спать,1366,sleep,V,A1,"LM, МН",2,спал,Imperf.Masc.Sing.Past,Сегодня ночью я совсем не спал.,I didn’t sleep at all last night.,_,свободное время,9,
спать,1367,sleep,V,A1,"LM, МН",3,спит,Imperf.Sing.3,Тихо! Маша спит.,Quiet! Masha is sleeping.,_,свободное время,9,
спрашивать,1368,ask,V,A1,"Golosa, MiP, LM, МН",1,спрашивает,Imperf.Sing.3,"Ваня спрашивает, во сколько сегодня ужин?",Vanya is asking what time is dinner tonight?,_,общение,15,
спрашивать,1369,ask,V,A1,"Golosa, MiP, LM, МН",2,спрашивать,Imperf.Inf,"Я не буду спрашивать, откуда у него деньги на новую квартиру.",I won't ask him where he got the money for a new apartment.,_,общение,15,
спрашивать,1370,ask,V,A1,"Golosa, MiP, LM, МН",3,спрашиваю,Imperf.Sing.1,Я тебя ещё раз спрашиваю: где моя куртка?,I’m asking you one more time: where is my coat?,_,общение,15,
становиться,1371,become,V,A1,"MiP, LM, МН",1,становится,Imperf.Sing.3,"Из его оценок становится понятно, почему он бросил университет.",It becomes clear from his grades why he quit university studies.,_,"учёба/работа, время",33,
становиться,1372,become,V,A1,"MiP, LM, МН",2,становятся,Imperf.Plur.3,Осенью дни становятся короче.,In fall days get shorter.,_,"учёба/работа, время",33,
становиться,1373,become,V,A1,"MiP, LM, МН",3,становилось,Imperf.Neut.Sing.Past,На уроках математики мне становилось очень скучно.,I was very bored in math class.,_,"учёба/работа, время",33,
стоить,1374,cost,V,A1,"Golosa, MiP, LM, МН",1,стоит,Imperf.Sing.3,Сколько стоит этот дом?,How much does this house cost?,_,магазин,20,
стоить,1375,cost,V,A1,"Golosa, MiP, LM, МН",2,стоило,Imperf.Neut.Sing.Past,Посмотреть эту выставку стоило пятьсот рублей.,It cost 500 roubles to see that exhibition.,_,магазин,20,
стоить,1376,cost,V,A1,"Golosa, MiP, LM, МН",3,стоят,Imperf.Plur.3,Два килограмма яблок стоят двести пятьдесят рублей.,2 kilos of apples cost 250 roubles.,_,магазин,20,
стоять,1377,stand,V,A1,"Golosa, MiP, LM, МН",1,стоит,Imperf.Sing.3,Катя стоит на остановке и ждёт свой автобус.,Katya is standing at the bus stop and waiting for her bus.,_,жильё,5,
стоять,1378,stand,V,A1,"Golosa, MiP, LM, МН",2,стоял,Imperf.Masc.Sing.Past,В этом углу раньше стоял стол.,There used to be the table standing in this corner.,_,жильё,5,
стоять,1379,stand,V,A1,"Golosa, MiP, LM, МН",3,стояли,Imperf.Plur.Past,"На столе стояли пироги: с мясом, с капустой и с ягодами.","There were pies on the table: meat ones, cabbage ones and berry ones.",_,жильё,5,
строить,1380,build,V,A1,"MiP, МН",1,строить,Imperf.Inf,Рядом с нашим домом будут строить новый мост.,A new bridge will be constructed next to our house.,_,"учёба/работа, жильё",26,
строить,1381,build,V,A1,"MiP, МН",2,строили,Imperf.Plur.Past,Мы строили этот дом пять лет.,We’ve been building this house for 5 years.,_,"учёба/работа, жильё",26,
строить,1382,build,V,A1,"MiP, МН",3,строит,Imperf.Sing.3,Коля всё ещё строит свой дом?,Is Kolya still building his home?,_,"учёба/работа, жильё",26,
танцевать,1383,dance,V,A1,"MiP, LM, МН",1,танцевать,Imperf.Inf,Мои дети не любят танцевать.,My children don’t like dancing.,_,свободное время,24,
танцевать,1384,dance,V,A1,"MiP, LM, МН",2,танцует,Imperf.Sing.3,Как красиво танцует эта балерина!,How beautifully that ballerina dances!,_,свободное время,24,
танцевать,1385,dance,V,A1,"MiP, LM, МН",3,танцевал,Imperf.Masc.Sing.Past,"Он раньше танцевал в Большом театре, а потом переехал в Лондон.",He used to dance at the Bolshoi theatre and then he moved to London.,_,свободное время,24,
увидеть,1386,see,V,A1,"LM, МН",1,увидел,Perf.Masc.Sing.Past,"Я тебя сразу увидел, когда ты вошла.",I saw you as soon as you came in.,_,внутренний мир,22,
увидеть,1387,see,V,A1,"LM, МН",2,увидеть,Perf.Inf,Я хочу увидеть Эйфелеву башню своими глазами.,I want to see the Eiffel tower with my own eyes.,_,внутренний мир,22,
увидеть,1388,see,V,A1,"LM, МН",3,увидела,Perf.Fem.Sing.Past,Я увидела тебя из окна и пошла открывать дверь. ,I saw you from the window and went to open the door.,_,внутренний мир,22,This seems like a strange sentence.
ужинать,1389,eat dinner,V,A1,"LM, МН",1,ужинал,Imperf.Masc.Sing.Past,Ты уже ужинал сегодня?,Have you already had dinner today?,_,еда,8,
ужинать,1390,eat dinner,V,A1,"LM, МН",2,ужинать,Imperf.Inf,Ты идёшь ужинать с нами?,Are you coming to dinner with us?,_,еда,8,
ужинать,1391,eat dinner,V,A1,"LM, МН",3,ужинали,Imperf.Plur.Past,Где вы вчера ужинали?,Where did you have dinner yesterday?,_,еда,8,
умирать,1392,die,V,A1,"Golosa, MiP, LM, МН",1,умирает,Imperf.Sing.3,Надежда умирает последней.,Hope dies last.,_,"люди, время, здоровье",25,
умирать,1393,die,V,A1,"Golosa, MiP, LM, МН",2,умирают,Imperf.Plur.3,Мои цветы всё время умирают.,My flowers always die.,_,"люди, время, здоровье",25,
умирать,1394,die,V,A1,"Golosa, MiP, LM, МН",3,умирать,Imperf.Inf,Умирать всегда страшно.,It's always scary to die.,_,"люди, время, здоровье",25,
уставать,1395,be tired,V,A1,"LM, МН",1,устаю,Imperf.Sing.1,"Я быстро устаю, когда бегаю.",I get tired very quickly when I run.,_,"учёба/работа, здоровье, свободное время",23,
уставать,1396,be tired,V,A1,"LM, МН",2,уставала,Imperf.Fem.Sing.Past,Она быстро уставала на занятиях йогой.,She got tired quickly at yoga classes.,_,"учёба/работа, здоровье, свободное время",23,
уставать,1397,be tired,V,A1,"LM, МН",3,устаёшь,Imperf.Sing.2,Ты так много работаешь! Как ты не устаёшь?,You are working so much! How is it that you don’t get tired?,_,"учёба/работа, здоровье, свободное время",23,
учить,1398,teach,V,A1,"MiP, МН",1,учить,Imperf.Inf,В следующем году я буду учить немецкий.,Next year I’ll start learning German.,_,учёба/работа,22,
учить,1399,teach,V,A1,"MiP, МН",2,учат,Imperf.Plur.3,Мои дети учат английский и французский.,My children are learning English and French.,_,учёба/работа,22,
учить,1400,teach,V,A1,"MiP, МН",3,учит,Imperf.Sing.3,Паша весь день учит стихотворение.,Pasha has been trying to memorize the poem all day long.,_,учёба/работа,22,
учиться,1401,learn,V,A1,"Golosa, MiP, LM, МН",1,учиться,Imperf.Inf,Я устала учиться и очень хочу отдохнуть.,I'm tired and really want to rest.,_,учёба/работа,22,
учиться,1402,learn,V,A1,"Golosa, MiP, LM, МН",2,учился,Imperf.Masc.Sing.Past,Где ты учился играть на гитаре?,Where did you learn to play the guitar?,_,учёба/работа,22,
учиться,1403,learn,V,A1,"Golosa, MiP, LM, МН",3,учится,Imperf.Sing.3,Моя сестра учится в школе.,My sister studies at school.,_,учёба/работа,22,
фотографировать,1404,take photographs,V,A1,"LM, МН",1,фотографируешь,Imperf.Sing.2,Почему ты фотографируешь только кошек?,Why do you only take photos of cats?,_,"учёба/работа, свободное время",24,
фотографировать,1405,take photographs,V,A1,"LM, МН",2,фотографирует,Imperf.Sing.3,"В путешествиях он фотографирует каждый день, а в Москве — раз в месяц.","While traveling he takes photos every day, but in Moscow only once a month.",_,"учёба/работа, свободное время",24,
фотографировать,1406,take photographs,V,A1,"LM, МН",3,фотографировать,Imperf.Inf,Я не умею фотографировать маленьких детей.,I don't know how to take photos of little children.,_,"учёба/работа, свободное время",24,
ходить,1407,walk,V,A1,"Golosa, MiP, LM, МН, Кс",1,ходили,Imperf.Plur.Past,Наши дети ходили в одну школу.,Our children studied at the same school.,_,"учёба/работа, свободное время",12,
ходить,1408,walk,V,A1,"Golosa, MiP, LM, МН, Кс",2,ходить,Imperf.Inf,Когда ваша дочка научилась ходить?,When did your daughter learn how to walk?,_,"учёба/работа, свободное время",12,
ходить,1409,walk,V,A1,"Golosa, MiP, LM, МН, Кс",3,ходила,Imperf.Fem.Sing.Past,В детстве я ходила в спортивную школу.,I used to go to a sports school when I was a child.,_,"учёба/работа, свободное время",12,
хотеть,1410,want,V,A1,"Golosa, MiP, LM, МН",1,хочу,Imperf.Sing.1,"Я хочу, чтобы в мире не было войны.",I wish there were no wars in the world.,_,внутренний мир,12,
хотеть,1411,want,V,A1,"Golosa, MiP, LM, МН",2,хотел,Imperf.Masc.Sing.Past,Он работал всю ночь и утром очень хотел спать.,He’s been working all night long and in the morning he really wanted to sleep.,_,внутренний мир,12,
хотеть,1412,want,V,A1,"Golosa, MiP, LM, МН",3,хочет,Imperf.Sing.3,Маша хочет поехать в Италию.,Masha wants to travel to Italy.,_,внутренний мир,12,
чувствовать,1413,feel,V,A1,"MiP, LM, МН",1,чувствую,Imperf.Sing.1,"Я плохо себя чувствую. Наверное, останусь сегодня дома.",I feel sick. I will probably stay at home today.,_,внутренний мир,28,
чувствовать,1414,feel,V,A1,"MiP, LM, МН",2,чувствует,Imperf.Sing.3,Как Петя себя чувствует? Ему лучше?,How is Petya? Is he feeling better?,_,внутренний мир,28,
чувствовать,1415,feel,V,A1,"MiP, LM, МН",3,чувствовал,Imperf.Masc.Sing.Past,В такие моменты он чувствовал себя счастливым.,At such times he felt happy.,_,внутренний мир,28,